Ticker,Country,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
STLD,1,1,0,0,0,0,0,0,0,0,0,0
STT,1,0,0,0,0,0,1,0,0,0,0,0
STX,1,0,0,0,0,0,0,0,0,0,1,0
STZ,1,0,0,0,1,0,0,0,0,0,0,0
SWK,1,0,0,0,0,0,0,0,1,0,0,0
SWKS,1,0,0,0,0,0,0,0,0,0,1,0
SYF,1,0,0,0,0,0,1,0,0,0,0,0
SYK,1,0,0,0,0,0,0,1,0,0,0,0
SYY,1,0,0,0,1,0,0,0,0,0,0,0
T,1,0,1,0,0,0,0,0,0,0,0,0
TAP,1,0,0,0,1,0,0,0,0,0,0,0
TDG,1,0,0,0,0,0,0,0,1,0,0,0
TDY,1,0,0,0,0,0,0,0,0,0,1,0
TECH,1,0,0,0,0,0,0,1,0,0,0,0
TEL,1,0,0,0,0,0,0,0,0,0,1,0
TER,1,0,0,0,0,0,0,0,0,0,1,0
TFC,1,0,0,0,0,0,1,0,0,0,0,0
TGT,1,0,0,0,1,0,0,0,0,0,0,0
TJX,1,0,0,1,0,0,0,0,0,0,0,0
TKO,1,0,1,0,0,0,0,0,0,0,0,0
TMO,1,0,0,0,0,0,0,1,0,0,0,0
TMUS,1,0,1,0,0,0,0,0,0,0,0,0
TPL,1,0,0,0,0,1,0,0,0,0,0,0
TPR,1,0,0,1,0,0,0,0,0,0,0,0
TRGP,1,0,0,0,0,1,0,0,0,0,0,0
TRMB,1,0,0,0,0,0,0,0,0,0,1,0
TROW,1,0,0,0,0,0,1,0,0,0,0,0
TRV,1,0,0,0,0,0,1,0,0,0,0,0
TSCO,1,0,0,1,0,0,0,0,0,0,0,0
TSLA,1,0,0,1,0,0,0,0,0,0,0,0
TSN,1,0,0,0,1,0,0,0,0,0,0,0
TT,1,0,0,0,0,0,0,0,1,0,0,0
TTWO,1,0,1,0,0,0,0,0,0,0,0,0
TXN,1,0,0,0,0,0,0,0,0,0,1,0
TXT,1,0,0,0,0,0,0,0,1,0,0,0
TYL,1,0,0,0,0,0,0,0,0,0,1,0
UAL,1,0,0,0,0,0,0,0,1,0,0,0
UDR,1,0,0,0,0,0,0,0,0,1,0,0
UHS,1,0,0,0,0,0,0,1,0,0,0,0
ULTA,1,0,0,1,0,0,0,0,0,0,0,0
UNH,1,0,0,0,0,0,0,1,0,0,0,0
UNP,1,0,0,0,0,0,0,0,1,0,0,0
UPS,1,0,0,0,0,0,0,0,1,0,0,0
URI,1,0,0,0,0,0,0,0,1,0,0,0
USB,1,0,0,0,0,0,1,0,0,0,0,0
V,1,0,0,0,0,0,1,0,0,0,0,0
VLO,1,0,0,0,0,1,0,0,0,0,0,0
VMC,1,1,0,0,0,0,0,0,0,0,0,0
VRSK,1,0,0,0,0,0,0,0,1,0,0,0
VRSN,1,0,0,0,0,0,0,0,0,0,1,0
VRTX,1,0,0,0,0,0,0,1,0,0,0,0
VTR,1,0,0,0,0,0,0,0,0,1,0,0
VTRS,1,0,0,0,0,0,0,1,0,0,0,0
VZ,1,0,1,0,0,0,0,0,0,0,0,0
WAB,1,0,0,0,0,0,0,0,1,0,0,0
WAT,1,0,0,0,0,0,0,1,0,0,0,0
WBA,1,0,0,0,0,0,0,1,0,0,0,0
WBD,1,0,1,0,0,0,0,0,0,0,0,0
WDAY,1,0,0,0,0,0,0,0,0,0,1,0
WDC,1,0,0,0,0,0,0,0,0,0,1,0
WEC,1,0,0,0,0,0,0,0,0,0,0,1
WELL,1,0,0,0,0,0,0,0,0,1,0,0
WFC,1,0,0,0,0,0,1,0,0,0,0,0
WM,1,0,0,0,0,0,0,0,1,0,0,0
WMB,1,0,0,0,0,1,0,0,0,0,0,0
WMT,1,0,0,0,1,0,0,0,0,0,0,0
WRB,1,0,0,0,0,0,1,0,0,0,0,0
WSM,1,0,0,1,0,0,0,0,0,0,0,0
WST,1,0,0,0,0,0,0,1,0,0,0,0
WTW,1,0,0,0,0,0,1,0,0,0,0,0
WY,1,0,0,0,0,0,0,0,0,1,0,0
WYNN,1,0,0,1,0,0,0,0,0,0,0,0
XEL,1,0,0,0,0,0,0,0,0,0,0,1
XOM,1,0,0,0,0,1,0,0,0,0,0,0
XYL,1,0,0,0,0,0,0,0,1,0,0,0
YUM,1,0,0,1,0,0,0,0,0,0,0,0
ZBH,1,0,0,0,0,0,0,1,0,0,0,0
ZBRA,1,0,0,0,0,0,0,0,0,0,1,0
ZTS,1,0,0,0,0,0,0,1,0,0,0,0
